STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,landcover,Land cover,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT11,Burgenland,2015,,18.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT11,Burgenland,2018,,14.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT12,Niederösterreich,2009,,12.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT12,Niederösterreich,2012,,10.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT12,Niederösterreich,2015,,10,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT12,Niederösterreich,2018,,8.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT13,Wien,2009,,20.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT13,Wien,2012,,16.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT13,Wien,2015,,15.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT13,Wien,2018,,14.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT2,Südösterreich,2009,,10.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT2,Südösterreich,2012,,8.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT2,Südösterreich,2015,,9.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT2,Südösterreich,2018,,12.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT21,Kärnten,2009,,20.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT21,Kärnten,2012,,16.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT21,Kärnten,2015,,17.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT21,Kärnten,2018,,15.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT22,Steiermark,2009,,11.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT22,Steiermark,2012,,10.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT22,Steiermark,2015,,10.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT22,Steiermark,2018,,16.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT3,Westösterreich,2009,,8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT3,Westösterreich,2012,,7.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT3,Westösterreich,2015,,7.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT3,Westösterreich,2018,,7.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT31,Oberösterreich,2009,,12.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT31,Oberösterreich,2012,,10.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT31,Oberösterreich,2015,,9.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT31,Oberösterreich,2018,,9.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT32,Salzburg,2009,,16.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT32,Salzburg,2012,,27.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT32,Salzburg,2015,,16.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT32,Salzburg,2018,,20.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT33,Tirol,2009,,16.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT33,Tirol,2012,,16.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT33,Tirol,2015,,18.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT33,Tirol,2018,,17.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT34,Vorarlberg,2009,,22.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT34,Vorarlberg,2012,,22.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT34,Vorarlberg,2015,,23.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT34,Vorarlberg,2018,,25.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE,Belgium,2009,,5.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE,Belgium,2012,,4.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE,Belgium,2015,,4.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE,Belgium,2018,,4.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2009,,45.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2012,,27.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,,24.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,,12.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2009,,45.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2012,,27.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,,24.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,,12.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE2,Vlaams Gewest,2009,,6.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE2,Vlaams Gewest,2012,,5.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE2,Vlaams Gewest,2015,,5.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE2,Vlaams Gewest,2018,,5.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE21,Prov. Antwerpen,2009,,13.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE21,Prov. Antwerpen,2012,,12.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE21,Prov. Antwerpen,2015,,11.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE21,Prov. Antwerpen,2018,,8.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE22,Prov. Limburg (BE),2009,,20.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE22,Prov. Limburg (BE),2012,,16.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE22,Prov. Limburg (BE),2015,,14.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE22,Prov. Limburg (BE),2018,,17,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE23,Prov. Oost-Vlaanderen,2009,,12.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE23,Prov. Oost-Vlaanderen,2012,,11.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE23,Prov. Oost-Vlaanderen,2015,,10.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE23,Prov. Oost-Vlaanderen,2018,,11.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE24,Prov. Vlaams-Brabant,2009,,15.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE24,Prov. Vlaams-Brabant,2012,,13,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE24,Prov. Vlaams-Brabant,2015,,12.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE24,Prov. Vlaams-Brabant,2018,,11.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE25,Prov. West-Vlaanderen,2009,,14.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE25,Prov. West-Vlaanderen,2012,,12.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE25,Prov. West-Vlaanderen,2015,,11.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE25,Prov. West-Vlaanderen,2018,,11,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE3,Région wallonne,2009,,8.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE3,Région wallonne,2012,,8.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE3,Région wallonne,2015,,7.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE3,Région wallonne,2018,,8.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE31,Prov. Brabant wallon,2009,,24.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE31,Prov. Brabant wallon,2012,,19.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE31,Prov. Brabant wallon,2015,,18.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE31,Prov. Brabant wallon,2018,,19.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE32,Prov. Hainaut,2009,,15.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE32,Prov. Hainaut,2012,,16.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE32,Prov. Hainaut,2015,,13.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE32,Prov. Hainaut,2018,,9.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE33,Prov. Liège,2009,,13.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE33,Prov. Liège,2012,,12,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE33,Prov. Liège,2015,,11.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE33,Prov. Liège,2018,,15.5,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE34,Prov. Luxembourg (BE),2009,,25.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE34,Prov. Luxembourg (BE),2012,,25.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE34,Prov. Luxembourg (BE),2015,,26.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE34,Prov. Luxembourg (BE),2018,,36.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE35,Prov. Namur,2009,,32.8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE35,Prov. Namur,2012,,28.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE35,Prov. Namur,2015,,24.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BE35,Prov. Namur,2018,,23.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BG,Bulgaria,2012,,7.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BG,Bulgaria,2015,,7.1,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BG,Bulgaria,2018,,8.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BG3,Severna i Yugoiztochna Bulgaria,2012,,9.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BG3,Severna i Yugoiztochna Bulgaria,2015,,9.2,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,BG3,Severna i Yugoiztochna Bulgaria,2018,,10.8,,,,,
