STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE21,Prov. Antwerpen,2019,,44.2,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE22,Prov. Limburg (BE),2017,,39.0,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE22,Prov. Limburg (BE),2018,,40.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE22,Prov. Limburg (BE),2019,,42.4,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE23,Prov. Oost-Vlaanderen,2017,,46.9,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE23,Prov. Oost-Vlaanderen,2018,,46.8,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE23,Prov. Oost-Vlaanderen,2019,,45.6,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE24,Prov. Vlaams-Brabant,2017,,53.5,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE24,Prov. Vlaams-Brabant,2018,,52.5,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE24,Prov. Vlaams-Brabant,2019,,53.4,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE25,Prov. West-Vlaanderen,2017,,42.0,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE25,Prov. West-Vlaanderen,2018,,42.2,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE25,Prov. West-Vlaanderen,2019,,41.9,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE31,Prov. Brabant wallon,2017,,61.9,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE31,Prov. Brabant wallon,2018,,63.9,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE31,Prov. Brabant wallon,2019,,58.4,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE32,Prov. Hainaut,2017,,34.7,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE32,Prov. Hainaut,2018,,35.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE32,Prov. Hainaut,2019,,36.5,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE33,Prov. Liège,2017,,39.6,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE33,Prov. Liège,2018,,38.4,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE33,Prov. Liège,2019,,41.9,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE34,Prov. Luxembourg (BE),2017,,40.7,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE34,Prov. Luxembourg (BE),2018,,42.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE34,Prov. Luxembourg (BE),2019,,45.5,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE35,Prov. Namur,2017,,44.7,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE35,Prov. Namur,2018,,43.9,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BE35,Prov. Namur,2019,,41.6,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG31,Severozapaden,2017,,25.8,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG31,Severozapaden,2018,,26.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG31,Severozapaden,2019,,25.4,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG32,Severen tsentralen,2017,,28.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG32,Severen tsentralen,2018,,31.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG32,Severen tsentralen,2019,,32.0,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG33,Severoiztochen,2017,,34.0,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG33,Severoiztochen,2018,,31.3,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG33,Severoiztochen,2019,,29.0,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG34,Yugoiztochen,2017,,27.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG34,Yugoiztochen,2018,,27.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG34,Yugoiztochen,2019,,27.0,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG41,Yugozapaden,2017,,45.8,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG41,Yugozapaden,2018,,45.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG41,Yugozapaden,2019,,45.5,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG42,Yuzhen tsentralen,2017,,27.8,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG42,Yuzhen tsentralen,2018,,28.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,BG42,Yuzhen tsentralen,2019,,28.4,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH01,Région lémanique,2017,,41.0,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH01,Région lémanique,2018,,42.8,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH01,Région lémanique,2019,,43.3,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH02,Espace Mittelland,2017,,33.0,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH02,Espace Mittelland,2018,,34.5,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH02,Espace Mittelland,2019,,36.3,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH03,Nordwestschweiz,2017,,38.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH03,Nordwestschweiz,2018,,40.0,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH03,Nordwestschweiz,2019,,41.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH04,Zürich,2017,,47.6,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH04,Zürich,2018,,49.2,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH04,Zürich,2019,,51.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH05,Ostschweiz,2017,,29.6,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH05,Ostschweiz,2018,,32.0,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH05,Ostschweiz,2019,,33.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH06,Zentralschweiz,2017,,36.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH06,Zentralschweiz,2018,,38.1,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH06,Zentralschweiz,2019,,36.8,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH07,Ticino,2017,,35.7,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH07,Ticino,2018,,39.5,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CH07,Ticino,2019,,37.5,,,,,
dataflow,ESTAT:TGS00109(1.0),"Tertiary educational attainment, age group 25-64 by sex and NUTS 2 region",A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,F,Females,CY00,Kýpros,2017,,46.3,,,,,
