"nuts2_code","country_code","year","fertility","poverty","family_exp","Mismatch","dist_to_median"
"RO31","RO",2018,1.74,45.6,104.86,"High Fert / Low Spend",119.67371
"EL61","EL",2018,1.32,32.9,103.47,"Low Priority Region",121.05628999999999
"ES42","ES",2019,1.24287,31,102.2,"Low Priority Region",122.40342
"NL41","NL",2017,1.61,14.1,347.1,"Balanced Investment",122.86371000000003
"HU22","HU",2019,1.48,17,100.12,"Low Priority Region",124.24628999999999
"RO32","RO",2018,1.53,28.2,99.5,"High Fert / Low Spend",124.82370999999999
"CZ01","CZ",2018,1.56,8.3,98.52,"High Fert / Low Spend",125.83371
"NL31","NL",2017,1.68,14.9,97,"High Fert / Low Spend",127.47371
"CZ01","CZ",2017,1.55,9.8,95.64,"High Fert / Low Spend",128.70371
"NL41","NL",2018,1.58,13.4,95.35,"High Fert / Low Spend",129.02371
"ITH3","IT",2019,1.29,10.3,152.97,"Low Priority Region",71.58628999999999
"CZ04","CZ",2019,1.71,19.7,296.03,"Balanced Investment",71.89370999999998
"NL12","NL",2018,1.71,16.3,296.53,"Balanced Investment",72.39370999999998
"RO31","RO",2017,1.74,50.2,151.73,"High Fert / Low Spend",72.80371000000001
"RO41","RO",2017,1.63,52.5,150.65,"High Fert / Low Spend",73.77371
"RO21","RO",2017,2.16,49.6,150.65,"High Fert / Low Spend",74.30370999999998
"ITF3","IT",2018,1.32915,48.9,299,"High Investment, Low Fertility",74.87714000000001
"EL64","EL",2019,1.12,28.3,149.58,"Low Priority Region",75.14628999999998
"SK04","SK",2019,1.69,19.7,301.68,"Balanced Investment",77.52371000000001
"ITH2","IT",2017,1.4863,17.1,145.68,"Low Priority Region",78.67998999999999
"ITH1","IT",2017,1.74689,6.3,145.68,"High Fert / Low Spend",78.86059999999999
"ITF6","IT",2018,1.2891,40.7,303.34,"High Investment, Low Fertility",79.25718999999998
"SI03","SI",2019,1.68,16.3,143.16,"High Fert / Low Spend",81.31371
"HU22","HU",2018,1.47,12.4,142.49,"Low Priority Region",81.88628999999999
"CZ02","CZ",2017,1.79,11,306.71,"Balanced Investment",82.65370999999999
"ITC3","IT",2017,1.29024,19,141.62,"Low Priority Region",82.93605
"ITF6","IT",2017,1.30506,43.9,307.65,"High Investment, Low Fertility",83.55122999999999
"PL92","PL",2019,1.51,21.1,308.95,"High Investment, Low Fertility",84.64629
"PL42","PL",2019,1.32,16.5,308.95,"High Investment, Low Fertility",84.83628999999999
"RO12","RO",2018,1.84,27.6,139.34,"High Fert / Low Spend",85.29370999999999
"HR04","HR",2017,1.43,24.8,138.55,"Low Priority Region",85.86628999999998
"ITH3","IT",2019,1.29,10.3,138.25,"Low Priority Region",86.30628999999999
"ES70","ES",2019,0.96995,38.3,138.33,"Low Priority Region",86.54633999999999
"ES62","ES",2017,1.54678,35.6,311.9,"Balanced Investment",87.60048999999998
"HR03","HR",2019,1.42,19.4,136.52,"Low Priority Region",87.90628999999998
"ITC4","IT",2019,1.33,16.6,136.04,"Low Priority Region",88.47629
"ITF5","IT",2019,1.15,33,136.04,"Low Priority Region",88.65629
"ITH1","IT",2018,1.72907,12.7,135.35,"High Fert / Low Spend",89.17278
"ES64","ES",2018,2.26992,23.5,135.53,"High Fert / Low Spend",89.53362999999999
"ES22","ES",2019,1.38361,12.4,134.14,"Low Priority Region",90.32268
"ITH2","IT",2017,1.4863,17.1,133.56,"Low Priority Region",90.79999
"ITF4","IT",2017,1.25093,36.7,315,"High Investment, Low Fertility",90.95536000000001
"BG33","BG",2017,1.68931,40.4,315.5,"Balanced Investment",91.34302000000001
"SI03","SI",2018,1.64,17.3,132.46,"High Fert / Low Spend",91.97370999999998
"EL42","EL",2019,1.62,30.1,132.05,"High Fert / Low Spend",92.36370999999998
"RO22","RO",2018,1.84,50.3,131.78,"High Fert / Low Spend",92.85370999999999
"ITH1","IT",2017,1.74689,6.3,131.08,"High Fert / Low Spend",93.46059999999999
"PL63","PL",2019,1.62,15,318.03,"Balanced Investment",93.80370999999998
"BG32","BG",2018,1.75067,34.5,130.47,"High Fert / Low Spend",94.07437999999999
"ITC3","IT",2019,1.21,17.5,130.38,"Low Priority Region",94.25628999999999
"ITI1","IT",2018,1.2608,17.9,130.22,"Low Priority Region",94.36549
"RO11","RO",2017,1.7,35.6,129.85,"High Fert / Low Spend",94.64371
"ES63","ES",2019,1.48046,49,128.55,"Low Priority Region",95.81582999999998
"ITC4","IT",2019,1.33,16.6,128.3,"Low Priority Region",96.21628999999999
"ITI4","IT",2019,1.18,24.1,128.3,"Low Priority Region",96.36628999999998
"SE31","SE",2018,1.89,19.5,320.71,"Balanced Investment",96.75370999999998
"ES23","ES",2019,1.30172,15.8,127.64,"Low Priority Region",96.90456999999999
"BG41","BG",2017,1.45777,26,127.37,"Low Priority Region",97.01852
"ES30","ES",2018,1.26087,20.9,321.46,"High Investment, Low Fertility",97.40541999999999
"ITI4","IT",2018,1.25317,25.7,321.65,"High Investment, Low Fertility",97.60311999999999
"ES70","ES",2017,1.07193,39.9,126.92,"Low Priority Region",97.85435999999999
"CZ03","CZ",2018,1.72,9.4,323.22,"Balanced Investment",99.09371000000003
"CH06","CH",2018,1.59,12.5,124.91,"High Fert / Low Spend",99.47371
"ES63","ES",2019,1.48046,49,324.95,"High Investment, Low Fertility",100.67582999999999
"ITF6","IT",2017,1.30506,43.9,123.62,"Low Priority Region",100.92123
"ES41","ES",2019,1.12497,16.8,324.95,"High Investment, Low Fertility",101.03132
"ES23","ES",2017,1.33934,13.9,122.93,"Low Priority Region",101.57694999999998
"ITC1","IT",2018,1.29684,18.4,122.81,"Low Priority Region",101.73944999999999
"ITF5","IT",2018,1.1411,35.2,122.81,"Low Priority Region",101.89518999999999
"ITF5","IT",2017,1.20013,31.9,326.22,"High Investment, Low Fertility",102.22616000000004
"CH06","CH",2017,1.56,13.6,121.88,"High Fert / Low Spend",102.47371
"PL42","PL",2019,1.32,16.5,326.74,"High Investment, Low Fertility",102.62629000000001
"ES51","ES",2018,1.30934,18.9,120.21,"Low Priority Region",104.32695
"BG32","BG",2019,1.77018,37.6,120.03,"High Fert / Low Spend",104.53388999999999
"SK04","SK",2017,1.65,20.1,328.96,"Balanced Investment",104.76370999999999
"HR04","HR",2017,1.43,24.8,119.03,"Low Priority Region",105.38628999999999
"HR03","HR",2019,1.42,19.4,118.07,"Low Priority Region",106.35629
"CZ06","CZ",2017,1.73,11,331.34,"Balanced Investment",107.22370999999998
"ES64","ES",2017,2.2558,30.2,116.86,"High Fert / Low Spend",108.18951
"ES24","ES",2019,1.25335,20.5,115.41,"Low Priority Region",109.18294
"RO22","RO",2017,1.89,52.4,115.14,"High Fert / Low Spend",109.54370999999999
"CZ04","CZ",2019,1.71,19.7,335.13,"Balanced Investment",110.99371000000001
"BG41","BG",2019,1.53127,22.7,335.72,"Balanced Investment",111.40498000000004
"ES24","ES",2018,1.28449,17.8,112.7,"Low Priority Region",111.86179999999999
"ES70","ES",2018,1.00946,39.2,112.7,"Low Priority Region",112.13682999999999
"ES43","ES",2017,1.28931,44.9,111.98,"Low Priority Region",112.57697999999999
"NO01","NO",2018,1.5,16.4,111.15,"Low Priority Region",113.19628999999999
"RO42","RO",2018,1.6,24.2,111,"High Fert / Low Spend",113.39371
"NO06","NO",2018,1.53,15,110.49,"High Fert / Low Spend",113.83371
"NL23","NL",2019,1.77,16.2,110.6,"High Fert / Low Spend",113.96370999999999
"ES11","ES",2017,1.11971,23,110.06,"Low Priority Region",114.66658
"HR03","HR",2018,1.43,21.2,109.43,"Low Priority Region",114.98628999999998
"NO03","NO",2019,1.53,14.5,108.81,"High Fert / Low Spend",115.51370999999999
"HR04","HR",2018,1.49,22.6,107.96,"Low Priority Region",116.39629
"CZ02","CZ",2019,1.76,9.6,340.7,"Balanced Investment",116.61371
"LT02","LT",2017,1.59857,32.4,107.54,"High Fert / Low Spend",116.85228
"EL30","EL",2018,1.36,27,106.91,"Low Priority Region",117.57629
"NL31","NL",2019,1.62,15.1,106.59,"High Fert / Low Spend",117.82370999999999
"ES53","ES",2019,1.17358,16.5,106.65,"Low Priority Region",118.02270999999999
"CZ07","CZ",2018,1.71,12.5,105.79,"High Fert / Low Spend",118.71370999999999
"BG41","BG",2018,1.46803,22.8,105.41,"Low Priority Region",118.96826
"RO11","RO",2018,1.69,28.8,104.86,"High Fert / Low Spend",119.62370999999999
"NL22","NL",2019,1.65,14.6,104.37,"High Fert / Low Spend",120.07370999999999
"EL65","EL",2018,1.35,29.2,103.47,"Low Priority Region",121.02628999999999
"EL62","EL",2019,1.55,22.3,102.78,"High Fert / Low Spend",121.56370999999999
"ES42","ES",2019,1.24287,31,102.2,"Low Priority Region",122.40342
"NL33","NL",2017,1.64,19.3,101.79,"High Fert / Low Spend",122.64370999999998
"NL41","NL",2018,1.58,13.4,101.51,"High Fert / Low Spend",122.86370999999998
"RO31","RO",2017,1.74,50.2,101.13,"High Fert / Low Spend",123.40371
"HU21","HU",2019,1.55,12.1,100.12,"High Fert / Low Spend",124.22370999999998
"NL34","NL",2018,1.72,14,100,"High Fert / Low Spend",124.51370999999999
"RO21","RO",2017,2.16,49.6,100.16,"High Fert / Low Spend",124.79370999999999
"EL52","EL",2019,1.27,30.6,99.48,"Low Priority Region",125.09628999999998
"BG31","BG",2019,1.90808,41.6,99,"High Fert / Low Spend",125.70178999999999
"LT01","LT",2017,1.49406,23.1,351.19,"High Investment, Low Fertility",126.90223
"CH01","CH",2018,1.51,21.2,96.89,"Low Priority Region",127.44628999999999
"CH06","CH",2017,1.56,13.6,96.75,"High Fert / Low Spend",127.60370999999999
"HR04","HR",2017,1.43,24.8,95.73,"Low Priority Region",128.68628999999999
"NL41","NL",2018,1.58,13.4,95.35,"High Fert / Low Spend",129.02371
"NL23","NL",2019,1.77,16.2,154.29,"High Fert / Low Spend",70.27371
"PT30","PT",2018,1.30193,31.9,153.28,"Low Priority Region",71.26436
"ITH5","IT",2019,1.3,14,152.97,"Low Priority Region",71.57629
"ITI4","IT",2019,1.18,24.1,152.97,"Low Priority Region",71.69628999999999
"ITG2","IT",2019,1,27.4,152.97,"Low Priority Region",71.87629
"NL33","NL",2018,1.61,19.6,296.53,"Balanced Investment",72.29370999999998
"NL33","NL",2019,1.6,19.4,296.63,"Balanced Investment",72.38371000000001
"NL21","NL",2019,1.68,15.6,296.63,"Balanced Investment",72.46371
"BG32","BG",2017,1.71635,43,151.71,"High Fert / Low Spend",72.80005999999999
"PT18","PT",2018,1.50266,21.1,151.35,"Low Priority Region",72.99363
"RO42","RO",2017,1.58,31.8,150.65,"High Fert / Low Spend",73.72370999999998
"PL51","PL",2019,1.38,14.1,298.17,"High Investment, Low Fertility",73.99629000000002
"RO21","RO",2017,2.16,49.6,150.65,"High Fert / Low Spend",74.30370999999998
"ES21","ES",2017,1.3205,15,298.88,"High Investment, Low Fertility",74.76579
"RO32","RO",2018,1.53,28.2,149.45,"High Fert / Low Spend",74.87371
"ES11","ES",2017,1.11971,23,298.88,"High Investment, Low Fertility",74.96658000000001
"ITF2","IT",2018,1.10607,25,299,"High Investment, Low Fertility",75.10022000000001
"BG34","BG",2018,2.10184,36.2,148.56,"High Fert / Low Spend",76.33555
"SK04","SK",2019,1.69,19.7,301.68,"Balanced Investment",77.52371000000001
"ITF3","IT",2018,1.32915,48.9,145.94,"Low Priority Region",78.57714
"ITI3","IT",2018,1.22736,16.1,145.94,"Low Priority Region",78.67893
"NL31","NL",2017,1.68,14.9,302.94,"Balanced Investment",78.77371000000001
"NL34","NL",2017,1.76,12.7,302.94,"Balanced Investment",78.85371
"ITF5","IT",2017,1.20013,31.9,145.68,"Low Priority Region",78.96615999999999
"ITC1","IT",2018,1.29684,18.4,303.34,"High Investment, Low Fertility",79.24944999999998
"ES61","ES",2019,1.30586,39.3,144.36,"Low Priority Region",80.18042999999997
"SI04","SI",2019,1.55,10.8,143.16,"High Fert / Low Spend",81.18370999999999
"PL71","PL",2019,1.36,17.1,305.63,"High Investment, Low Fertility",81.47629
"HU23","HU",2018,1.57,26.7,142.49,"High Fert / Low Spend",81.87370999999999
"HU32","HU",2018,1.69,27.1,142.14,"High Fert / Low Spend",82.34371
"CZ06","CZ",2017,1.73,11,306.71,"Balanced Investment",82.59370999999999
"ITH5","IT",2017,1.36091,15,141.62,"Low Priority Region",82.86537999999999
"ITI1","IT",2017,1.29473,17.4,141.62,"Low Priority Region",82.93155999999999
"RO11","RO",2017,1.7,35.6,141.46,"High Fert / Low Spend",83.03370999999999
"ITH1","IT",2017,1.74689,6.3,307.65,"Balanced Investment",83.55059999999999
"ES51","ES",2018,1.30934,18.9,308.04,"High Investment, Low Fertility",83.93695000000002
"ES64","ES",2018,2.26992,23.5,308.04,"Balanced Investment",84.46363000000002
"PL82","PL",2019,1.38,22.1,308.95,"High Investment, Low Fertility",84.77628999999999
"PL42","PL",2019,1.32,16.5,308.95,"High Investment, Low Fertility",84.83628999999999
"RO41","RO",2017,1.63,52.5,139.27,"High Fert / Low Spend",85.15370999999999
"RO22","RO",2018,1.84,50.3,139.34,"High Fert / Low Spend",85.29370999999999
"BG32","BG",2019,1.77018,37.6,139.14,"High Fert / Low Spend",85.42389
"BG34","BG",2019,2.15573,37.9,139.14,"High Fert / Low Spend",85.80944000000001
"ITH1","IT",2019,1.71,10.4,138.25,"High Fert / Low Spend",86.25371
"ES43","ES",2019,1.2167,36.9,138.33,"Low Priority Region",86.29958999999998
"ITI2","IT",2019,1.2,12.3,138.25,"Low Priority Region",86.39629
"ES11","ES",2019,1.01814,24.2,138.33,"Low Priority Region",86.49814999999998
"ITF6","IT",2019,1.26,34.8,311.09,"High Investment, Low Fertility",87.03628999999998
"CZ08","CZ",2017,1.6,19.7,311.81,"Balanced Investment",87.56371000000001
"CZ02","CZ",2017,1.79,11,311.81,"Balanced Investment",87.75371000000001
"BG41","BG",2019,1.53127,22.7,136.42,"High Fert / Low Spend",87.90498000000001
"BG32","BG",2019,1.77018,37.6,136.42,"High Fert / Low Spend",88.14389
"ITG1","IT",2019,1.33,45.4,136.04,"Low Priority Region",88.47629
"ITH4","IT",2019,1.25,13.5,136.04,"Low Priority Region",88.55629
"ITF2","IT",2019,1.15,33.7,136.04,"Low Priority Region",88.65629
"ES53","ES",2018,1.24665,17.3,135.53,"Low Priority Region",89.06963999999999
"ITH1","IT",2018,1.72907,12.7,135.35,"High Fert / Low Spend",89.17278
"ITF4","IT",2018,1.23363,35.8,135.35,"Low Priority Region",89.26266
"ITG2","IT",2018,1.03521,33.6,135.35,"Low Priority Region",89.46108
"HR04","HR",2018,1.49,22.6,134.2,"Low Priority Region",90.15629
"PL41","PL",2019,1.55,17.3,314.6,"Balanced Investment",90.30371000000002
"ES21","ES",2019,1.24932,15,134.14,"Low Priority Region",90.45697000000001
"ES64","ES",2019,2.0991,39.7,134.14,"High Fert / Low Spend",90.75281000000001
"ITI1","IT",2017,1.29473,17.4,315,"High Investment, Low Fertility",90.91156000000001
"ITF1","IT",2017,1.25286,28.2,315,"High Investment, Low Fertility",90.95343000000001
"ITI3","IT",2017,1.26097,20.9,133.56,"Low Priority Region",91.02532
"RO32","RO",2018,1.53,28.2,133.03,"High Fert / Low Spend",91.29370999999999
"RO11","RO",2019,1.69,23.4,132.97,"High Fert / Low Spend",91.51370999999999
"RO21","RO",2019,2.14,49.2,132.97,"High Fert / Low Spend",91.96370999999999
"SE11","SE",2019,1.61,14.5,316.45,"Balanced Investment",92.21370999999999
"EL41","EL",2019,1.6,30.7,132.05,"High Fert / Low Spend",92.34370999999999
"SI04","SI",2018,1.58,13.3,131.84,"High Fert / Low Spend",92.53370999999999
"RO42","RO",2017,1.58,31.8,131.53,"High Fert / Low Spend",92.84370999999999
"ITC4","IT",2017,1.40535,16.9,131.08,"Low Priority Region",93.36093999999999
"ITH4","IT",2017,1.31574,13.1,131.08,"Low Priority Region",93.45054999999998
"ITF1","IT",2017,1.25286,28.2,131.08,"Low Priority Region",93.51342999999999
"PL91","PL",2019,1.6,12.9,318.03,"Balanced Investment",93.78370999999999
"PL43","PL",2019,1.35,14.8,318.03,"High Investment, Low Fertility",93.88628999999997
"BG33","BG",2018,1.73954,34.5,130.47,"High Fert / Low Spend",94.06325
"ITH2","IT",2018,1.4505,18.8,130.22,"Low Priority Region",94.17578999999999
"ITI1","IT",2019,1.21,18.4,130.38,"Low Priority Region",94.25628999999999
"ITF1","IT",2019,1.17,24.4,130.38,"Low Priority Region",94.29629
"ITI1","IT",2018,1.2608,17.9,130.22,"Low Priority Region",94.36549
"ITG2","IT",2019,1,27.4,130.38,"Low Priority Region",94.46629
"HR03","HR",2018,1.43,21.2,129.8,"Low Priority Region",94.61628999999998
"ES13","ES",2018,1.11039,24.4,129.87,"Low Priority Region",94.86589999999998
"ES62","ES",2019,1.49064,33.4,128.55,"Low Priority Region",95.80564999999999
"RO11","RO",2019,1.69,23.4,128.43,"High Fert / Low Spend",96.05370999999998
"ITG1","IT",2019,1.33,45.4,128.3,"Low Priority Region",96.21628999999999
"ITF6","IT",2019,1.26,34.8,128.3,"Low Priority Region",96.28628999999998
"ITI3","IT",2019,1.19,18.5,128.3,"Low Priority Region",96.35628999999999
"SE33","SE",2018,1.69,17.4,320.71,"Balanced Investment",96.55370999999998
"ITH2","IT",2018,1.4505,18.8,127.65,"Low Priority Region",96.74578999999999
"ITC4","IT",2018,1.36258,14.9,127.65,"Low Priority Region",96.83370999999998
"SE31","SE",2017,1.89,20.3,320.86,"Balanced Investment",96.90371000000002
"ITI4","IT",2018,1.25317,25.7,127.65,"Low Priority Region",96.94312
"ITF1","IT",2018,1.2048,25.8,127.65,"Low Priority Region",96.99148999999998
"ES11","ES",2019,1.01814,24.2,127.64,"Low Priority Region",97.18815
"ES42","ES",2018,1.26129,33.4,321.46,"High Investment, Low Fertility",97.40499999999999
"ITH5","IT",2018,1.348,14,321.65,"High Investment, Low Fertility",97.50828999999999
"ES24","ES",2017,1.32689,16.2,126.92,"Low Priority Region",97.59939999999999
"ES70","ES",2018,1.00946,39.2,321.46,"High Investment, Low Fertility",97.65682999999999
"CH06","CH",2019,1.54,14.2,126.49,"High Fert / Low Spend",97.84371
"ES64","ES",2017,2.2558,30.2,126.92,"High Fert / Low Spend",98.12951
"CZ03","CZ",2018,1.72,9.4,323.22,"Balanced Investment",99.09371000000003
"ES23","ES",2018,1.23376,19.1,125.44,"Low Priority Region",99.17253
"CH05","CH",2018,1.59,17.7,124.91,"High Fert / Low Spend",99.47371
"HR03","HR",2018,1.43,21.2,124.3,"Low Priority Region",100.11628999999999
"RO12","RO",2019,1.85,28.2,123.97,"High Fert / Low Spend",100.67371
"ITF3","IT",2017,1.36197,43,123.62,"Low Priority Region",100.86431999999999
"ITH1","IT",2017,1.74689,6.3,123.62,"High Fert / Low Spend",100.9206
"RO21","RO",2019,2.14,49.2,123.97,"High Fert / Low Spend",100.96370999999999
"ITF5","IT",2017,1.20013,31.9,123.62,"Low Priority Region",101.02615999999999
"RO22","RO",2017,1.89,52.4,123.5,"High Fert / Low Spend",101.18370999999999
"ES61","ES",2017,1.35638,39,122.93,"Low Priority Region",101.55990999999999
"ITG1","IT",2018,1.37221,49.5,122.81,"Low Priority Region",101.66407999999998
"ITC1","IT",2018,1.29684,18.4,122.81,"Low Priority Region",101.73944999999999
"HR03","HR",2018,1.43,21.2,122.63,"Low Priority Region",101.78629
"ITF5","IT",2018,1.1411,35.2,122.81,"Low Priority Region",101.89518999999999
"ITF3","IT",2017,1.36197,43,326.22,"High Investment, Low Fertility",102.06432000000004
"ITF2","IT",2017,1.20144,35,326.22,"High Investment, Low Fertility",102.22485000000003
