STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT12,Niederösterreich,2018,,88.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT12,Niederösterreich,2019,,88.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT13,Wien,2017,,4754.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT13,Wien,2018,,4780.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT13,Wien,2019,,4808.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT21,Kärnten,2017,,59.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT21,Kärnten,2018,,59.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT21,Kärnten,2019,,59.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT22,Steiermark,2017,,76.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT22,Steiermark,2018,,76.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT22,Steiermark,2019,,76.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT31,Oberösterreich,2017,,125.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT31,Oberösterreich,2018,,126.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT31,Oberösterreich,2019,,126.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT32,Salzburg,2017,,78.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT32,Salzburg,2018,,78.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT32,Salzburg,2019,,78.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT33,Tirol,2017,,59.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT33,Tirol,2018,,60.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT33,Tirol,2019,,60.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT34,Vorarlberg,2017,,154.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT34,Vorarlberg,2018,,155.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT34,Vorarlberg,2019,,156.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,,7421.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,,7471.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,,7526.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE21,Prov. Antwerpen,2017,,657.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE21,Prov. Antwerpen,2018,,661.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE21,Prov. Antwerpen,2019,,665.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE22,Prov. Limburg (BE),2017,,364.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE22,Prov. Limburg (BE),2018,,365.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE22,Prov. Limburg (BE),2019,,367.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE23,Prov. Oost-Vlaanderen,2017,,505.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE23,Prov. Oost-Vlaanderen,2018,,508.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE23,Prov. Oost-Vlaanderen,2019,,512.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE24,Prov. Vlaams-Brabant,2017,,536.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE24,Prov. Vlaams-Brabant,2018,,540.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE24,Prov. Vlaams-Brabant,2019,,544.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE25,Prov. West-Vlaanderen,2017,,377.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE25,Prov. West-Vlaanderen,2018,,379.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE25,Prov. West-Vlaanderen,2019,,380.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE31,Prov. Brabant wallon,2017,,365.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE31,Prov. Brabant wallon,2018,,367.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE31,Prov. Brabant wallon,2019,,369.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE32,Prov. Hainaut,2017,,353.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE32,Prov. Hainaut,2018,,353.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE32,Prov. Hainaut,2019,,354.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE33,Prov. Liège,2017,,288.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE33,Prov. Liège,2018,,289.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE33,Prov. Liège,2019,,289.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE34,Prov. Luxembourg (BE),2017,,63.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE34,Prov. Luxembourg (BE),2018,,64.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE34,Prov. Luxembourg (BE),2019,,64.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE35,Prov. Namur,2017,,135.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE35,Prov. Namur,2018,,135.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BE35,Prov. Namur,2019,,135.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG31,Severozapaden,2017,,40.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG31,Severozapaden,2018,,39.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG31,Severozapaden,2019,,39.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG32,Severen tsentralen,2017,,54.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG32,Severen tsentralen,2018,,53.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG32,Severen tsentralen,2019,,53.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG33,Severoiztochen,2017,,64.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG33,Severoiztochen,2018,,64.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG33,Severoiztochen,2019,,63.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG34,Yugoiztochen,2017,,53.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG34,Yugoiztochen,2018,,52.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG34,Yugoiztochen,2019,,52.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG41,Yugozapaden,2017,,104.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG41,Yugozapaden,2018,,104.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG41,Yugozapaden,2019,,103.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG42,Yuzhen tsentralen,2017,,64.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG42,Yuzhen tsentralen,2018,,63.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,BG42,Yuzhen tsentralen,2019,,63.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH01,Région lémanique,2017,,196.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH01,Région lémanique,2018,,198.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH01,Région lémanique,2019,,199.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH02,Espace Mittelland,2017,,191.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH02,Espace Mittelland,2018,,192.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH02,Espace Mittelland,2019,,193.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH03,Nordwestschweiz,2017,,593.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH03,Nordwestschweiz,2018,,598.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH03,Nordwestschweiz,2019,,603.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH04,Zürich,2017,,904.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH04,Zürich,2018,,914.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH04,Zürich,2019,,925.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH05,Ostschweiz,2017,,103.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH05,Ostschweiz,2018,,104.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH05,Ostschweiz,2019,,104.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH06,Zentralschweiz,2017,,188.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH06,Zentralschweiz,2018,,190.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH06,Zentralschweiz,2019,,191.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH07,Ticino,2017,,129.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH07,Ticino,2018,,129.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CH07,Ticino,2019,,128.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CY00,Kýpros,2017,,93.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CY00,Kýpros,2018,,94.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CY00,Kýpros,2019,,95.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ01,Praha,2017,,2654.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ01,Praha,2018,,2683.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ01,Praha,2019,,2714.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ02,Střední Čechy,2017,,125.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ02,Střední Čechy,2018,,127.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ02,Střední Čechy,2019,,128.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ03,Jihozápad,2017,,71.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ03,Jihozápad,2018,,71.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ03,Jihozápad,2019,,71.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ04,Severozápad,2017,,131.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ04,Severozápad,2018,,131.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ04,Severozápad,2019,,131.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ05,Severovýchod,2017,,123.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ05,Severovýchod,2018,,123.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ05,Severovýchod,2019,,123.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ06,Jihovýchod,2017,,123.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ06,Jihovýchod,2018,,123.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ06,Jihovýchod,2019,,124.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ07,Střední Morava,2017,,133.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ07,Střední Morava,2018,,133.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ07,Střední Morava,2019,,133.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ08,Moravskoslezsko,2017,,227.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ08,Moravskoslezsko,2018,,226.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,CZ08,Moravskoslezsko,2019,,226.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE11,Stuttgart,2017,,389.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE11,Stuttgart,2018,,392.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE11,Stuttgart,2019,,393.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE12,Karlsruhe,2017,,406.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE12,Karlsruhe,2018,,408.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE12,Karlsruhe,2019,,409.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE13,Freiburg,2017,,242.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE13,Freiburg,2018,,244.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE13,Freiburg,2019,,244.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE14,Tübingen,2017,,212.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE14,Tübingen,2018,,213.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE14,Tübingen,2019,,214.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE21,Oberbayern,2017,,270.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE21,Oberbayern,2018,,271.6,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE21,Oberbayern,2019,,273.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE22,Niederbayern,2017,,119.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE22,Niederbayern,2018,,120.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE22,Niederbayern,2019,,121.0,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE23,Oberpfalz,2017,,114.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE23,Oberpfalz,2018,,114.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE23,Oberpfalz,2019,,115.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE24,Oberfranken,2017,,147.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE24,Oberfranken,2018,,147.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE24,Oberfranken,2019,,147.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE25,Mittelfranken,2017,,243.3,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE25,Mittelfranken,2018,,244.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE25,Mittelfranken,2019,,245.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE26,Unterfranken,2017,,154.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE26,Unterfranken,2018,,154.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE26,Unterfranken,2019,,155.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,DE27,Schwaben,2017,,188.7,,,,,
