Country Or Territory,NUTS Code,NUTS Name,Degree Of Urbanisation,Year,Air Pollutant,Data Aggregation Id,Scenario,Category,Outcome,Health Indicator,Sex,Description Of Age Group,Affected  Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Value,Value - lower CI,Value - upper CI,Value for 100k Of Affected Population,Value for 100k Of Affected Population - lower CI,Value for 100k Of Affected Population - upper CI
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1151342","11103.4","8.9","13.0","1053","531","2075","91","46","180"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1161203","11103.4","9.7","11.1","689","524","769","59","45","66"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1161203","11103.4","9.7","11.1","6999","5331","7814","602","459","672"
"Austria","AT13","Wien","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1214456","351.9","16.0","16.6","1373","1050","1529","113","86","125"
"Austria","AT13","Wien","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1806466","351.9","5880.3","5706.3","107","84","129","5","4","7"
"Austria","AT13","Wien","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1224857","351.9","12.7","13.1","964","736","1076","78","60","87"
"Belgium","BE23","Prov. Oost-Vlaanderen","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","974542","2897.9","16.7","19.9","2732","1380","5353","280","141","549"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1475187","9243.3","5739.6","4753.9","777","615","939","52","41","63"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1483500","9243.3","7783.3","6620.4","1097","868","1325","73","58","89"
"Belgium","BE21","Prov. Antwerpen","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1192324","2645.8","18.9","24.5","467","236","910","39","19","76"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","391855","4843.4","9.0","15.8","62","31","123","16","8","31"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","368068","2576.5","10.1","18.3","81","41","159","22","11","43"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","374489","2576.5","8.7","15.4","55","27","108","14","7","29"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","552310","2576.5","7272.9","5410.8","328","259","396","59","47","71"
"Austria","AT13","Wien","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1203856","351.9","20.5","27.1","528","267","1027","43","22","85"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1141290","11103.4","10.7","12.5","848","647","947","74","56","82"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1712586","11103.4","6240.3","5884.8","104","82","126","6","4","7"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","761408","155.2","28.9","32.3","4766","2422","9236","626","318","1213"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","771357","155.2","24.1","27.0","3625","1837","7059","469","238","915"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1183286","155.2","2828.4","2710.8","366","290","443","31","24","37"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","771357","155.2","11.3","11.4","501","382","559","65","49","72"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1475187","9243.3","5739.6","4753.9","73","58","89","4","3","6"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1010036","9243.3","9.8","15.2","1439","726","2826","142","71","279"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1264728","9222.6","7118.2","5771.4","808","640","976","63","50","77"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","858581","9222.6","11.2","13.9","748","572","834","87","66","97"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","865936","9222.6","8.1","14.7","116","58","228","13","6","26"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","865936","9222.6","8.8","11.7","5669","4325","6324","654","499","730"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","880095","2115.6","3116.2","3120.9","29","23","35","3","2","4"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","880095","2115.6","3116.2","3120.9","320","253","387","36","28","44"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","574966","2115.6","11.5","11.7","401","305","447","69","53","77"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","578961","2115.6","10.5","10.6","3485","2653","3893","602","458","672"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1172562","155.2","1865.8","1742.4","21","17","26","1","1","2"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","761408","155.2","12.9","13.3","6806","5193","7593","893","682","997"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","391855","4843.4","8.8","11.1","237","180","264","60","46","67"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","398689","4843.4","7.7","13.8","45","22","88","11","5","22"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","588002","4843.4","7404.1","5832.9","35","28","43","6","4","7"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","398689","4843.4","8.3","10.8","226","172","252","56","43","63"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","298178","1710.5","6346.7","5849.8","193","152","233","64","51","78"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1695971","11103.4","6006.4","5401.6","96","76","116","5","4","6"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1151342","11103.4","8.9","13.0","102","51","202","8","4","17"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","204157","1710.5","8.4","11.0","8","4","17","4","2","8"
"Austria","AT34","Vorarlberg","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","258964","945.0","7.3","9.7","1215","925","1357","469","357","524"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","200657","1710.5","12.8","13.3","1671","1275","1864","833","635","929"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","766036","155.2","12.8","13.1","640","488","714","83","63","93"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","761408","155.2","12.9","13.3","649","495","724","85","65","95"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1177403","155.1","3680.0","3539.0","482","382","583","40","32","49"
"Belgium","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","771357","155.2","11.3","11.4","5276","4018","5890","684","520","763"
"Austria","AT33","Tirol","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","499440","3054.1","11.7","21.8","1552","786","3027","310","157","606"
"Belgium","BE23","Prov. Oost-Vlaanderen","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","987272","2897.9","14.9","17.9","206","104","404","20","10","41"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","571493","2115.6","11.3","11.5","4029","3069","4499","705","537","787"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","883727","2115.6","5298.4","5230.6","49","38","59","5","4","6"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","578961","2115.5","14.6","17.2","1160","585","2280","200","101","393"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","200657","1710.5","10.3","13.0","16","8","32","8","4","16"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1161203","11103.4","7.9","11.8","74","37","146","6","3","12"
"Austria","AT34","Vorarlberg","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","254524","945.0","6.4","9.1","105","79","117","41","31","46"
"Austria","AT34","Vorarlberg","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","254524","945.0","6.4","9.1","1063","808","1188","417","317","466"
"Austria","AT34","Vorarlberg","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","258964","945.0","10.8","17.7","51","26","101","19","10","39"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","546954","2576.5","6305.7","4568.6","26","20","31","4","3","5"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","552310","2576.5","7272.9","5410.8","31","24","37","5","4","6"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","398689","4843.4","8.3","10.8","2297","1751","2563","576","439","643"
"Austria","AT33","Tirol","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","499440","3054.1","6.1","8.7","1872","1424","2092","375","285","419"
"Austria","AT33","Tirol","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","503838","3054.1","10.7","19.6","127","64","249","25","12","49"
"Austria","AT33","Tirol","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","503838","3054.1","10.7","19.6","1303","659","2549","258","130","505"
"Belgium","BE23","Prov. Oost-Vlaanderen","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1500787","2897.9","2650.3","2545.6","40","32","49","2","2","3"
"Belgium","BE23","Prov. Oost-Vlaanderen","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","987272","2897.9","14.9","17.9","2168","1094","4258","219","110","431"
"Austria","AT34","Vorarlberg","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","254524","945.0","12.1","20.2","68","34","133","26","13","52"
"Austria","AT34","Vorarlberg","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","378226","945.0","6475.9","5216.2","218","173","264","57","45","69"
"Austria","AT34","Vorarlberg","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","258964","945.0","10.8","17.7","525","265","1031","202","102","398"
"Belgium","BE33","Prov. Liège","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","732262","2885.5","9.5","10.4","415","316","464","56","43","63"
"Austria","AT13","Wien","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1799020","351.9","7024.3","6846.6","129","102","156","7","5","8"
"Austria","AT13","Wien","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1224857","351.9","12.7","13.1","9799","7476","10932","800","610","892"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","992715","9243.3","11.3","17.2","1907","963","3737","192","97","376"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","992715","9243.3","10.7","12.6","744","568","831","75","57","83"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1001460","9243.3","10.7","16.3","1724","870","3382","172","86","337"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1489639","9243.3","6446.7","5461.2","894","707","1080","60","47","72"
"Austria","AT31","Oberösterreich","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1483500","9243.3","7783.3","6620.4","103","81","124","6","5","8"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","582301","4843.4","7330.6","6046.9","389","308","471","66","53","80"
"Austria","AT21","Kärnten","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","391855","4843.4","8.8","11.1","2404","1831","2683","613","467","684"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","368068","2576.5","10.1","18.3","822","415","1610","223","112","437"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","550034","2576.5","7959.7","6222.0","36","28","43","6","5","7"
