STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,spscheme,Category of schemes,spdep,Detailed benefit expenditure type,spdepm,Means testing,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CZ,Czechia,2017,,9.18,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CZ,Czechia,2018,,8.82,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CZ,Czechia,2019,,7.6,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),DE,Germany,2017,,35.33,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),DE,Germany,2018,,32.53,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),DE,Germany,2019,,30.34,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),DK,Denmark,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),DK,Denmark,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),DK,Denmark,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EA19,Euro area - 19 countries  (2015-2022),2017,,81.14,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EA19,Euro area - 19 countries  (2015-2022),2018,,80.12,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EA19,Euro area - 19 countries  (2015-2022),2019,,77.57,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EA20,Euro area – 20 countries (from 2023),2017,,80.68,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EA20,Euro area – 20 countries (from 2023),2018,,79.65,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EA20,Euro area – 20 countries (from 2023),2019,,77.16,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EE,Estonia,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EE,Estonia,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EE,Estonia,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EL,Greece,2017,,155.91,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EL,Greece,2018,,193.91,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EL,Greece,2019,,136.44,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),ES,Spain,2017,,14.94,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),ES,Spain,2018,,14.99,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),ES,Spain,2019,,16.02,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EU27_2020,European Union - 27 countries (from 2020),2017,,70.68,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EU27_2020,European Union - 27 countries (from 2020),2018,,69.18,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),EU27_2020,European Union - 27 countries (from 2020),2019,,63.46,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),FI,Finland,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),FI,Finland,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),FI,Finland,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),FR,France,2017,,149.94,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),FR,France,2018,,148.75,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),FR,France,2019,,143.89,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),HR,Croatia,2017,,42.24,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),HR,Croatia,2018,,40.39,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),HR,Croatia,2019,,42.66,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),HU,Hungary,2017,,2.32,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),HU,Hungary,2018,,2.17,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),HU,Hungary,2019,,2.14,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IE,Ireland,2017,,229.24,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IE,Ireland,2018,,225.71,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IE,Ireland,2019,,223.09,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IS,Iceland,2017,,145.58,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IS,Iceland,2018,,150.12,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IS,Iceland,2019,,163.95,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IT,Italy,2017,,133.56,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IT,Italy,2018,,127.65,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),IT,Italy,2019,,128.3,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LT,Lithuania,2017,,8.6,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LT,Lithuania,2018,,1.09,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LT,Lithuania,2019,,0.84,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LU,Luxembourg,2017,,8.47,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LU,Luxembourg,2018,,7.16,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LU,Luxembourg,2019,,10,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LV,Latvia,2017,,0.18,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LV,Latvia,2018,,0.14,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),LV,Latvia,2019,,0.12,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),ME,Montenegro,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),ME,Montenegro,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),ME,Montenegro,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),MK,North Macedonia,2017,,0.92,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),MT,Malta,2017,,49.62,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),MT,Malta,2018,,46.38,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),MT,Malta,2019,,42.11,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),NL,Netherlands,2017,,101.79,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),NL,Netherlands,2018,,99.73,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),NL,Netherlands,2019,,104.37,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),NO,Norway,2017,,112.4,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),NO,Norway,2018,,110.49,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),NO,Norway,2019,,108.81,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),PL,Poland,2017,,89.08,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),PL,Poland,2018,,79.54,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),PL,Poland,2019,,33.48,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),PT,Portugal,2017,,75.11,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),PT,Portugal,2018,,80.22,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),PT,Portugal,2019,,86.19,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),RO,Romania,2017,,5.88,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),RO,Romania,2018,,5.02,,,,,
