STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT31,Oberösterreich,2017,,1.66,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT31,Oberösterreich,2018,,1.62,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT31,Oberösterreich,2019,,1.60,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT32,Salzburg,2017,,1.61,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT32,Salzburg,2018,,1.54,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT32,Salzburg,2019,,1.58,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT33,Tirol,2017,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT33,Tirol,2018,,1.50,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT33,Tirol,2019,,1.46,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT34,Vorarlberg,2017,,1.67,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT34,Vorarlberg,2018,,1.68,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT34,Vorarlberg,2019,,1.68,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,,1.80959,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,,1.77021,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,,1.70660,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE21,Prov. Antwerpen,2017,,1.71217,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE21,Prov. Antwerpen,2018,,1.68001,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE21,Prov. Antwerpen,2019,,1.66272,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE22,Prov. Limburg (BE),2017,,1.53421,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE22,Prov. Limburg (BE),2018,,1.48415,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE22,Prov. Limburg (BE),2019,,1.49946,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE23,Prov. Oost-Vlaanderen,2017,,1.56439,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE23,Prov. Oost-Vlaanderen,2018,,1.56685,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE23,Prov. Oost-Vlaanderen,2019,,1.50720,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE24,Prov. Vlaams-Brabant,2017,,1.63912,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE24,Prov. Vlaams-Brabant,2018,,1.58921,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE24,Prov. Vlaams-Brabant,2019,,1.60090,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE25,Prov. West-Vlaanderen,2017,,1.59481,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE25,Prov. West-Vlaanderen,2018,,1.64394,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE25,Prov. West-Vlaanderen,2019,,1.58463,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE31,Prov. Brabant wallon,2017,,1.63278,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE31,Prov. Brabant wallon,2018,,1.54230,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE31,Prov. Brabant wallon,2019,,1.55482,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE32,Prov. Hainaut,2017,,1.65459,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE32,Prov. Hainaut,2018,,1.61362,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE32,Prov. Hainaut,2019,,1.62540,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE33,Prov. Liège,2017,,1.65749,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE33,Prov. Liège,2018,,1.61472,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE33,Prov. Liège,2019,,1.62042,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE34,Prov. Luxembourg (BE),2017,,1.68855,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE34,Prov. Luxembourg (BE),2018,,1.63383,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE34,Prov. Luxembourg (BE),2019,,1.76202,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE35,Prov. Namur,2017,,1.55624,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE35,Prov. Namur,2018,,1.56720,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BE35,Prov. Namur,2019,,1.53616,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG31,Severozapaden,2017,,1.85291,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG31,Severozapaden,2018,,1.88775,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG31,Severozapaden,2019,,1.90808,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG32,Severen tsentralen,2017,,1.71635,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG32,Severen tsentralen,2018,,1.75067,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG32,Severen tsentralen,2019,,1.77018,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG33,Severoiztochen,2017,,1.68931,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG33,Severoiztochen,2018,,1.73954,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG33,Severoiztochen,2019,,1.83009,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG34,Yugoiztochen,2017,,2.10908,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG34,Yugoiztochen,2018,,2.10184,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG34,Yugoiztochen,2019,,2.15573,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG41,Yugozapaden,2017,,1.45777,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG41,Yugozapaden,2018,,1.46803,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG41,Yugozapaden,2019,,1.53127,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG42,Yuzhen tsentralen,2017,,1.79732,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG42,Yuzhen tsentralen,2018,,1.83131,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,BG42,Yuzhen tsentralen,2019,,1.87979,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH01,Région lémanique,2017,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH01,Région lémanique,2018,,1.51,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH01,Région lémanique,2019,,1.47,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH02,Espace Mittelland,2017,,1.53,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH02,Espace Mittelland,2018,,1.53,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH02,Espace Mittelland,2019,,1.50,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH03,Nordwestschweiz,2017,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH03,Nordwestschweiz,2018,,1.51,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH03,Nordwestschweiz,2019,,1.50,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH04,Zürich,2017,,1.50,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH04,Zürich,2018,,1.47,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH04,Zürich,2019,,1.42,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH05,Ostschweiz,2017,,1.54,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH05,Ostschweiz,2018,,1.59,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH05,Ostschweiz,2019,,1.53,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH06,Zentralschweiz,2017,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH06,Zentralschweiz,2018,,1.59,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH06,Zentralschweiz,2019,,1.54,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH07,Ticino,2017,,1.37,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH07,Ticino,2018,,1.28,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CH07,Ticino,2019,,1.26,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CY00,Kýpros,2017,,1.32,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CY00,Kýpros,2018,,1.32,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CY00,Kýpros,2019,,1.33,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ01,Praha,2017,,1.55,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ01,Praha,2018,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ01,Praha,2019,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ02,Střední Čechy,2017,,1.79,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ02,Střední Čechy,2018,,1.74,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ02,Střední Čechy,2019,,1.76,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ03,Jihozápad,2017,,1.70,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ03,Jihozápad,2018,,1.72,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ03,Jihozápad,2019,,1.72,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ04,Severozápad,2017,,1.67,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ04,Severozápad,2018,,1.66,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ04,Severozápad,2019,,1.71,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ05,Severovýchod,2017,,1.70,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ05,Severovýchod,2018,,1.74,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ05,Severovýchod,2019,,1.76,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ06,Jihovýchod,2017,,1.73,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ06,Jihovýchod,2018,,1.76,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ06,Jihovýchod,2019,,1.77,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ07,Střední Morava,2017,,1.67,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ07,Střední Morava,2018,,1.71,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ07,Střední Morava,2019,,1.67,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ08,Moravskoslezsko,2017,,1.60,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ08,Moravskoslezsko,2018,,1.68,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,CZ08,Moravskoslezsko,2019,,1.66,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE11,Stuttgart,2017,,1.58,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE11,Stuttgart,2018,,1.58,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE11,Stuttgart,2019,,1.58,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE12,Karlsruhe,2017,,1.51,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE12,Karlsruhe,2018,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE12,Karlsruhe,2019,,1.51,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE13,Freiburg,2017,,1.58,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE13,Freiburg,2018,,1.61,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE13,Freiburg,2019,,1.60,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE14,Tübingen,2017,,1.63,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE14,Tübingen,2018,,1.62,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE14,Tübingen,2019,,1.61,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE21,Oberbayern,2017,,1.54,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE21,Oberbayern,2018,,1.55,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE21,Oberbayern,2019,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE22,Niederbayern,2017,,1.55,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE22,Niederbayern,2018,,1.53,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE22,Niederbayern,2019,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE23,Oberpfalz,2017,,1.50,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE23,Oberpfalz,2018,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE23,Oberpfalz,2019,,1.59,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE24,Oberfranken,2017,,1.51,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE24,Oberfranken,2018,,1.49,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE24,Oberfranken,2019,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE25,Mittelfranken,2017,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE25,Mittelfranken,2018,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE25,Mittelfranken,2019,,1.54,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE26,Unterfranken,2017,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE26,Unterfranken,2018,,1.53,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE26,Unterfranken,2019,,1.56,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE27,Schwaben,2017,,1.63,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,DE27,Schwaben,2018,,1.62,,,,,
